idiom	alts
in_no_uncertain_terms	[]
in_no_way,_shape,_or_form	[]
in_one's_dreams	[]
in_one's_element	[]
in_one's_pocket	[]
in_one's_right_mind	[]
in_other_words	[]
in_recent_memory	[]
in_someone's_pocket	"[""be in someone's pocket"", ""be in the pocket of someone"", ""in the pocket of someone""]"
in_someone's_shoes	[]
in_the_blink_of_an_eye	[]
in_the_crosshairs	[]
in_the_doghouse	[]
in_the_driver's_seat	"[""in the driving seat""]"
in_the_driving_seat	[]
in_the_face_of	[]
in_the_fast_lane	[]
in_the_final_analysis	"[""in the last analysis"", ""in the ultimate analysis""]"
in_the_first_place	[]
in_the_here_and_now	[]
in_the_hospital	"[""in hospital""]"
in_the_hot_seat	[]
in_the_interest_of_justice	[]
in_the_limelight	[]
in_the_line_of_duty	[]
in_the_long_run	[]
in_the_long_term	[]
in_the_middle_of	[]
in_the_nick_of_time	[]
in_the_process_of	[]
in_the_right_place_at_the_right_time	[]
in_the_running	[]
in_the_same_boat	[]
in_the_same_breath	[]
in_the_short_run	[]
in_the_thick_of	[]
in_the_thick_of_it	[]
in_the_wake_of	"[""in something's wake""]"
in_the_worst_way	[]
in_the_wrong_place_at_the_wrong_time	[]
in_this_day_and_age	[]
in_with_a_chance	[]
in_your_dreams	[]
inch-perfect	[]
inner_strength	[]
inside_baseball	[]
inside_the_box	[]
installed_base	[]
irons_in_the_fire	[]
it_goes_to_show	[]
it_is_what_it_is	[]
it_takes_two_to_tango	[]
it's_about_time	[]
jack_of_all_trades	"[""jack-at-all-trades"", ""jack of all trades"", ""jack of all trades"", ""jack-of-all-trades"", ""jack-of-all-trades""]"
jet-setter	[]
jet-setting	"[""jet setting"", ""jetsetting""]"
joined_at_the_hip	"[""joined-at-the-hip""]"
judge,_jury_and_executioner	"[""judge and jury""]"
jump_at_the_chance	[]
jump_on_the_bandwagon	"[""climb on the bandwagon"", ""hop on the bandwagon""]"
jump_the_queue	"[""jump queue""]"
jump_through_hoops	"[""leap through hoops""]"
jump_to_conclusions	[]
jumped-up	[]
just_like_that	[]
just_what_the_doctor_ordered	[]
kangaroo_court	[]
keep_a_close_watch_on	[]
keep_a_cool_head	[]
keep_a_low_profile	[]
keep_an_eye_on	[]
keep_an_eye_open	[]
keep_an_eye_out	[]
keep_one's_chin_up	[]
keep_one's_cool	[]
keep_one's_eye_on_the_ball	[]
keep_one's_eyes_peeled	[]
keep_one's_fingers_crossed	[]
keep_one's_head	"[""keep one's head on one's shoulders""]"
keep_one's_head_above_water	"[""hold one's head above water"", ""keep one's head above the water""]"
keep_one's_head_down	[]
keep_one's_mouth_shut	[]
keep_one's_options_open	"[""leave one's options open""]"
keep_someone_company	[]
keep_someone_in_the_loop	[]
keep_someone_posted	[]
keep_the_peace	[]
keep_up_appearances	[]
keep_up_with_the_joneses	[]
kernel_of_truth	[]
kettle_of_fish	[]
